Id;Titol;Autor;AnyCreacio;Etiquetes;RutaFitxer;Genere;BitrateKbps;EsStereo;DuradaSegons;Album;NumeroPista
1787022842;BAILE INoLVIDABLE;Bad Bunny;2025;MasteritzacioDigital|GravacioEnEstudi|LletraIPoesia|MusicaEnCatala;https://music.apple.com/es/album/baile-inolvidable/1787022393?i=1787022842;Música latina;Kbps96;True;300;Best Of;10
1875358228;NI BORRACHO;Quevedo;2026;ComposicioOriginal;https://music.apple.com/es/album/ni-borracho/1875358089?i=1875358228;Pop;Kbps64;True;270;Best Of;2
1787023936;DtMF;Bad Bunny;2025;PaisatgeSonor|Arranjaments|GravacioEnEstudi;https://music.apple.com/es/album/dtmf/1787022393?i=1787023936;Música latina;Kbps96;True;270;Singles Collection;11
1787022572;NUEVAYoL;Bad Bunny;2025;GravacioEnEstudi;https://music.apple.com/es/album/nuevayol/1787022393?i=1787022572;Música latina;Kbps96;True;180;Best Of;8
1848960624;Dardos;Romeo Santos & Prince Royce;2025;ComposicioOriginal|ProduccioMusical;https://music.apple.com/es/album/dardos/1848960616?i=1848960624;Música;Kbps360;True;300;Singles Collection;9
1848167530;La Perla;ROSALÍA & Yahritza Y Su Esencia;2025;PaisatgeSonor|InterpretacioVocal|Sintetitzadors|MusicaEnCatala|ComposicioOriginal|ProduccioMusical;https://music.apple.com/es/album/la-perla/1848167516?i=1848167530;Música;Kbps96;True;240;Studio Album;7
1500776923;Vete;Bad Bunny;2019;ProduccioMusical|Sintetitzadors|GravacioEnEstudi|MasteritzacioDigital;https://music.apple.com/es/album/vete/1500776322?i=1500776923;Música;Kbps360;True;210;Singles Collection;6
1814146675;SUPERESTRELLA;Aitana;2025;ComposicioOriginal|Sintetitzadors|MesclaIHarmonitzacio|RitmeICompas|MusicaEnCatala;https://music.apple.com/es/album/superestrella/1814146266?i=1814146675;Música;Kbps96;True;270;Singles Collection;8
1787022587;VOY A LLeVARTE PA PR;Bad Bunny;2025;Sintetitzadors|InterpretacioVocal|MusicaEnCatala|MesclaIHarmonitzacio|RitmeICompas|MasteritzacioDigital;https://music.apple.com/es/album/voy-a-llevarte-pa-pr/1787022393?i=1787022587;Música latina;Kbps128;True;300;Best Of;3
1570323056;Yonaguni;Bad Bunny;2021;MusicaEnCatala;https://music.apple.com/es/album/yonaguni/1570323047?i=1570323056;Música;Kbps64;True;240;Live Concert;4
1787023929;EoO;Bad Bunny;2025;Sintetitzadors|MasteritzacioDigital|PaisatgeSonor|ComposicioOriginal|MusicaEnCatala;https://music.apple.com/es/album/eoo/1787022393?i=1787023929;Música latina;Kbps360;True;210;Singles Collection;8
1542103215;LA NOCHE DE ANOCHE;Bad Bunny & ROSALÍA;2020;InterpretacioVocal|Sintetitzadors|MesclaIHarmonitzacio|PaisatgeSonor|MusicaEnCatala|ComposicioOriginal;https://music.apple.com/es/album/la-noche-de-anoche/1542102907?i=1542103215;Música;Kbps64;True;210;Greatest Hits;11
1847678152;LA VILLA;Ryan Castro, Kapo & Gangsta;2025;LletraIPoesia|MasteritzacioDigital|InterpretacioVocal;https://music.apple.com/es/album/la-villa/1847678143?i=1847678152;Música;Kbps360;True;210;Live Concert;9
1812537122;no tiene sentido;Beéle;2025;MesclaIHarmonitzacio|GravacioEnEstudi|LletraIPoesia|ComposicioOriginal|Arranjaments|Sintetitzadors;https://music.apple.com/es/album/no-tiene-sentido/1812536829?i=1812537122;Música;Kbps96;True;240;Greatest Hits;2
1833328840;The Fate of Ophelia;Taylor Swift;2025;;https://music.apple.com/es/album/the-fate-of-ophelia/1833328839?i=1833328840;Pop;Kbps360;True;300;Studio Album;2
1787022999;VeLDÁ;Bad Bunny, Omar Courtz & Dei V;2025;;https://music.apple.com/es/album/veld%C3%A1/1787022393?i=1787022999;Música latina;Kbps360;True;180;Greatest Hits;9
1820264150;Golden;HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast;2025;Sintetitzadors|MesclaIHarmonitzacio|Arranjaments|ProduccioMusical|LletraIPoesia;https://music.apple.com/es/album/golden/1820264137?i=1820264150;K-Pop;Kbps360;True;240;Studio Album;8
1787023682;CAFé CON RON;Bad Bunny & Los Pleneros de la Cresta;2025;LletraIPoesia;https://music.apple.com/es/album/caf%C3%A9-con-ron/1787022393?i=1787023682;Música latina;Kbps360;True;300;Live Concert;1
1622045962;Ojitos Lindos;Bad Bunny & Bomba Estéreo;2022;MusicaEnCatala|ComposicioOriginal|Sintetitzadors|PaisatgeSonor|GravacioEnEstudi|LletraIPoesia;https://music.apple.com/es/album/ojitos-lindos/1622045624?i=1622045962;Música latina;Kbps128;True;180;Best Of;2
1622045635;Tití Me Preguntó;Bad Bunny;2022;LletraIPoesia|ProduccioMusical;https://music.apple.com/es/album/tit%C3%AD-me-pregunt%C3%B3/1622045624?i=1622045635;Música latina;Kbps96;True;240;Singles Collection;5
1815278975;TU VAS SIN (fav);Rels B;2025;MesclaIHarmonitzacio|RitmeICompas|MusicaEnCatala;https://music.apple.com/es/album/tu-vas-sin-fav/1815278960?i=1815278975;Música;Kbps360;True;300;Best Of;1
1622045634;Me Porto Bonito;Bad Bunny & Chencho Corleone;2022;MesclaIHarmonitzacio;https://music.apple.com/es/album/me-porto-bonito/1622045624?i=1622045634;Música latina;Kbps64;True;210;Best Of;12
1811306574;6 DE FEBRERO;Aitana;2025;MesclaIHarmonitzacio|ComposicioOriginal|LletraIPoesia|Sintetitzadors|MusicaEnCatala;https://music.apple.com/es/album/6-de-febrero/1811306573?i=1811306574;Música;Kbps64;True;210;Live Concert;11
1542103620;DÁKITI;Bad Bunny & JHAYCO;2020;;https://music.apple.com/es/album/d%C3%A1kiti/1542102907?i=1542103620;Música;Kbps192;True;240;Live Concert;9
1852364556;capaz (merenguetón);Alleh & Yorghaki;2024;MasteritzacioDigital;https://music.apple.com/es/album/capaz-merenguet%C3%B3n/1852364553?i=1852364556;Música;Kbps64;True;210;Greatest Hits;12
1796306971;La Plena (W Sound 05);W Sound, Beéle & Ovy On the Drums;2025;PaisatgeSonor|MusicaEnCatala|GravacioEnEstudi|LletraIPoesia;https://music.apple.com/es/album/la-plena-w-sound-05/1796306713?i=1796306971;Música;Kbps360;True;270;Singles Collection;2
1775462855;Qué Pasaría...;Rauw Alejandro & Bad Bunny;2024;MesclaIHarmonitzacio|MasteritzacioDigital|Arranjaments|ProduccioMusical;https://music.apple.com/es/album/qu%C3%A9-pasar%C3%ADa/1775462846?i=1775462855;Música;Kbps360;True;240;Singles Collection;3
1862685664;BIENVENIDA;Clarent;2026;ComposicioOriginal;https://music.apple.com/es/album/bienvenida/1862685663?i=1862685664;Música latina;Kbps360;True;300;Best Of;1
1867584574;MVLAN;YOVNGCHIMI & JC Reyes;2026;RitmeICompas|Arranjaments|MesclaIHarmonitzacio;https://music.apple.com/es/album/mvlan/1867584573?i=1867584574;Música latina;Kbps192;True;180;Studio Album;10
1632448108;End of Beginning;Djo;2024;PaisatgeSonor|Sintetitzadors|InterpretacioVocal|ComposicioOriginal|LletraIPoesia;https://music.apple.com/es/album/end-of-beginning/1632447652?i=1632448108;Alternativa;Kbps128;True;180;Greatest Hits;2
1695651429;DILUVIO;Rauw Alejandro;2023;Sintetitzadors|LletraIPoesia|GravacioEnEstudi|RitmeICompas|Arranjaments|MusicaEnCatala;https://music.apple.com/es/album/diluvio/1695650934?i=1695651429;Música;Kbps192;True;300;Live Concert;12
1787023297;KLOuFRENS;Bad Bunny;2025;MesclaIHarmonitzacio|InterpretacioVocal|GravacioEnEstudi|ProduccioMusical|Sintetitzadors|Arranjaments;https://music.apple.com/es/album/kloufrens/1787022393?i=1787023297;Música latina;Kbps96;True;180;Greatest Hits;8
1752031539;Si Antes Te Hubiera Conocido;KAROL G;2024;ComposicioOriginal|MasteritzacioDigital|ProduccioMusical|LletraIPoesia|Sintetitzadors|Arranjaments;https://music.apple.com/es/album/si-antes-te-hubiera-conocido/1752031533?i=1752031539;Música latina;Kbps128;True;270;Greatest Hits;8
1465503235;Callaíta;Bad Bunny & Tainy;2019;;https://music.apple.com/es/album/calla%C3%ADta/1465503234?i=1465503235;Música;Kbps128;True;270;Singles Collection;11
1536861744;Dile a El;Rauw Alejandro;2020;MusicaEnCatala|ComposicioOriginal|InterpretacioVocal|ProduccioMusical|Sintetitzadors|LletraIPoesia;https://music.apple.com/es/album/dile-a-el/1536861742?i=1536861744;Música;Kbps360;True;240;Singles Collection;1
1848167522;Reliquia;ROSALÍA;2025;MesclaIHarmonitzacio;https://music.apple.com/es/album/reliquia/1848167516?i=1848167522;Música;Kbps360;True;210;Best Of;7
1850801720;Daddy Yankee: Bzrp Music Sessions, Vol. 0/66;Bizarrap & Daddy Yankee;2025;MusicaEnCatala|MesclaIHarmonitzacio|MasteritzacioDigital|RitmeICompas;https://music.apple.com/es/album/daddy-yankee-bzrp-music-sessions-vol-0-66/1850801719?i=1850801720;Música;Kbps128;True;210;Best Of;9
1860190115;Cuando No Era Cantante (Remix);El Bogueto, Anuel AA, Fuerza Regida & Yung Beef;2025;;https://music.apple.com/es/album/cuando-no-era-cantante-remix/1860190113?i=1860190115;Música latina;Kbps128;True;300;Live Concert;4
1515739167;Hasta Que Dios Diga;Anuel AA & Bad Bunny;2020;RitmeICompas|MasteritzacioDigital;https://music.apple.com/es/album/hasta-que-dios-diga/1515738865?i=1515739167;Música;Kbps192;True;270;Best Of;9
1838737598;WHERE IS MY HUSBAND!;RAYE;2025;InterpretacioVocal;https://music.apple.com/es/album/where-is-my-husband/1838737596?i=1838737598;Pop;Kbps192;True;240;Singles Collection;11
1823284972;TUCHAT;Quevedo;2025;Sintetitzadors;https://music.apple.com/es/album/tuchat/1823284971?i=1823284972;Música;Kbps96;True;210;Singles Collection;3
1811397144;DROGA;Mora & C. Tangana;2025;;https://music.apple.com/es/album/droga/1811396930?i=1811397144;Música latina;Kbps192;True;240;Best Of;2
1787023918;LO QUE LE PASÓ A HAWAii;Bad Bunny;2025;MasteritzacioDigital|GravacioEnEstudi|MesclaIHarmonitzacio|Arranjaments|ComposicioOriginal;https://music.apple.com/es/album/lo-que-le-pas%C3%B3-a-hawaii/1787022393?i=1787023918;Música latina;Kbps360;True;300;Best Of;8
1876382974;Choque;Bad Gyal & Chencho Corleone;0;LletraIPoesia;https://music.apple.com/es/album/choque/1876382588?i=1876382974;Pop;Kbps64;True;210;Greatest Hits;8
1470146813;LA CANCIÓN;J Balvin & Bad Bunny;2019;ComposicioOriginal;https://music.apple.com/es/album/la-canci%C3%B3n/1470146332?i=1470146813;Música;Kbps128;True;270;Live Concert;7
1850578429;Enemigos;Ozuna, Beéle & Ovy On the Drums;2025;RitmeICompas|PaisatgeSonor|MusicaEnCatala|LletraIPoesia|ComposicioOriginal;https://music.apple.com/es/album/enemigos/1850578425?i=1850578429;Música;Kbps128;True;240;Live Concert;2
1848904895;LOQUITA;JC Reyes & Slayter;2025;MusicaEnCatala|Sintetitzadors|PaisatgeSonor;https://music.apple.com/es/album/loquita/1848904888?i=1848904895;Pop;Kbps360;True;180;Singles Collection;1
1787022993;WELTiTA;Bad Bunny & Chuwi;2025;;https://music.apple.com/es/album/weltita/1787022393?i=1787022993;Música latina;Kbps192;True;300;Live Concert;1
1848960620;Lokita Por Mí;Romeo Santos & Prince Royce;2025;InterpretacioVocal;https://music.apple.com/es/album/lokita-por-m%C3%AD/1848960616?i=1848960620;Música latina;Kbps360;True;240;Greatest Hits;12
1787024161;LA MuDANZA;Bad Bunny;2025;RitmeICompas|ProduccioMusical|Sintetitzadors|MesclaIHarmonitzacio|Arranjaments|ComposicioOriginal;https://music.apple.com/es/album/la-mudanza/1787022393?i=1787024161;Música latina;Kbps64;True;180;Best Of;5
1819544623;LATINA FOREVA;KAROL G;2025;GravacioEnEstudi|LletraIPoesia|InterpretacioVocal;https://music.apple.com/es/album/latina-foreva/1819544141?i=1819544623;Música latina;Kbps96;True;240;Best Of;9
1860999094;Inglés En Miami;Rawayana & Manuel Turizo;2026;Arranjaments|MasteritzacioDigital;https://music.apple.com/es/album/ingl%C3%A9s-en-miami/1860998746?i=1860999094;Música;Kbps64;True;300;Studio Album;12
1269286798;Se Preparó;Ozuna;2017;PaisatgeSonor;https://music.apple.com/es/album/se-prepar%C3%B3/1269285897?i=1269286798;Música;Kbps192;True;210;Greatest Hits;4
1710982872;MONACO;Bad Bunny;2023;MasteritzacioDigital|MesclaIHarmonitzacio;https://music.apple.com/es/album/monaco/1710982865?i=1710982872;Música latina;Kbps128;True;210;Live Concert;11
1811397153;AURORA;Mora & De La Rose;2025;LletraIPoesia|MasteritzacioDigital|PaisatgeSonor|Arranjaments|RitmeICompas;https://music.apple.com/es/album/aurora/1811396930?i=1811397153;Música latina;Kbps128;True;270;Live Concert;7
1816288613;YO y TÚ;Ovy On the Drums, Quevedo & Beéle;2025;Arranjaments|PaisatgeSonor|ComposicioOriginal|MasteritzacioDigital|RitmeICompas;https://music.apple.com/es/album/yo-y-t%C3%BA/1816288612?i=1816288613;Música latina;Kbps192;True;270;Singles Collection;3
1787022980;PERFuMITO NUEVO;Bad Bunny & RaiNao;2025;InterpretacioVocal|MesclaIHarmonitzacio|Sintetitzadors|GravacioEnEstudi|MusicaEnCatala|MasteritzacioDigital;https://music.apple.com/es/album/perfumito-nuevo/1787022393?i=1787022980;Música latina;Kbps192;True;240;Studio Album;12
1873055584;5 Estrellas - W Sound 23;W Sound, Myke Towers & Ovy On the Drums;2026;LletraIPoesia|Arranjaments|Sintetitzadors;https://music.apple.com/es/album/5-estrellas-w-sound-23/1873055583?i=1873055584;Música latina;Kbps192;True;300;Greatest Hits;7
1845926659;LOVE;Clarent;2025;GravacioEnEstudi;https://music.apple.com/es/album/love/1845926656?i=1845926659;Música;Kbps128;True;210;Live Concert;7
